,AUC,Accuracy,BA,Kappa,MCC,Sensitivity,Specificity,cv,data,f1_score,pr_auc,prediction_time,roc_auc,train_time
0,0.5821917808219178,0.8026315789473685,0.4178082191780822,-0.0674157303370786,-0.08778086039709793,0.0,0.8356164383561644,0.0,100,0.8905109489051095,0.961411352712709,5.14984130859375e-05,0.406392694063927,1.4338154792785645
1,0.589041095890411,0.7894736842105263,0.410958904109589,-0.06854130052724083,-0.0920874821597123,0.0,0.821917808219178,1.0,100,0.8823529411764706,0.9633785374271779,5.2928924560546875e-05,0.4429223744292238,1.1761369705200195
2,0.26940639269406397,0.7894736842105263,0.730593607305936,0.14245416078984474,0.21550078170404377,0.6666666666666666,0.7945205479452054,2.0,100,0.8787878787878787,0.9410181161817239,4.410743713378906e-05,0.2100456621004566,1.1766722202301025
3,0.44292237442922366,0.7631578947368421,0.5570776255707762,0.03526093088857529,0.05334177764951579,0.3333333333333333,0.7808219178082192,3.0,100,0.8636363636363635,0.9685880526889352,4.00543212890625e-05,0.54337899543379,1.1746294498443604
4,0.504566210045662,0.6447368421052632,0.49543378995433784,-0.001953125,-0.003748316563949168,0.3333333333333333,0.6575342465753424,4.0,100,0.7804878048780488,0.9603439426686053,4.76837158203125e-05,0.4566210045662101,1.1799862384796143
5,0.4497716894977169,0.75,0.550228310502283,0.029569892473118364,0.046009803033614564,0.3333333333333333,0.7671232876712328,0.0,150,0.8549618320610687,0.9298809393523866,4.38690185546875e-05,0.2557077625570776,1.428802490234375
6,0.589041095890411,0.7894736842105263,0.410958904109589,-0.06854130052724083,-0.0920874821597123,0.0,0.821917808219178,1.0,150,0.8823529411764706,0.97453572009971,4.315376281738281e-05,0.5616438356164384,1.3966248035430908
7,0.4840182648401826,0.6842105263157895,0.5159817351598174,0.007616974972796453,0.013547966989431028,0.3333333333333333,0.6986301369863014,2.0,150,0.8095238095238095,0.963360819866047,4.4345855712890625e-05,0.3972602739726028,1.4058952331542969
8,0.47031963470319627,0.7105263157894737,0.5296803652968036,0.01531213191990588,0.025848199845496456,0.3333333333333333,0.726027397260274,3.0,150,0.828125,0.938398362078225,4.38690185546875e-05,0.2328767123287671,1.394047737121582
9,0.4292237442922374,0.7894736842105263,0.5707762557077626,0.04851330203442872,0.06925148479504491,0.3333333333333333,0.8082191780821918,4.0,150,0.880597014925373,0.9597710803522683,3.910064697265625e-05,0.5205479452054795,1.3991413116455078
10,0.45662100456621,0.7368421052631579,0.54337899543379,0.024390243902439046,0.03901371573204352,0.3333333333333333,0.7534246575342466,0.0,200,0.8461538461538461,0.9662492567809109,4.3392181396484375e-05,0.4748858447488585,1.6915397644042969
11,0.4223744292237443,0.8026315789473685,0.5776255707762556,0.05629139072847689,0.07798247183404243,0.3333333333333333,0.821917808219178,1.0,200,0.8888888888888888,0.9406867581095557,4.029273986816406e-05,0.27397260273972607,1.6908528804779053
12,0.44292237442922366,0.7631578947368421,0.5570776255707762,0.03526093088857529,0.05334177764951579,0.3333333333333333,0.7808219178082192,2.0,200,0.8636363636363635,0.9555302270881354,4.410743713378906e-05,0.4748858447488585,1.6916491985321045
13,0.595890410958904,0.7763157894736842,0.4041095890410959,-0.06953642384105962,-0.09633128873617007,0.0,0.8082191780821918,3.0,200,0.874074074074074,0.964802148032863,4.4345855712890625e-05,0.4429223744292238,1.6915054321289062
14,0.6027397260273972,0.7631578947368421,0.3972602739726027,-0.07042253521126773,-0.10052634889603294,0.0,0.7945205479452054,4.0,200,0.8656716417910448,0.9630745989685257,4.3392181396484375e-05,0.4429223744292238,1.6878762245178223
15,0.4223744292237443,0.8026315789473685,0.5776255707762556,0.05629139072847689,0.07798247183404243,0.3333333333333333,0.821917808219178,0.0,250,0.8888888888888888,0.9540092003027085,4.291534423828125e-05,0.4200913242009133,2.0664589405059814
16,0.6232876712328768,0.7236842105263158,0.3767123287671233,-0.07258064516129026,-0.1129331529006903,0.0,0.7534246575342466,1.0,250,0.8396946564885496,0.9710375641938498,4.458427429199219e-05,0.497716894977169,2.059572696685791
17,0.26940639269406397,0.7894736842105263,0.730593607305936,0.14245416078984474,0.21550078170404377,0.6666666666666666,0.7945205479452054,2.0,250,0.8787878787878787,0.9176930797045135,5.125999450683594e-05,0.1506849315068493,2.068636178970337
18,0.595890410958904,0.7763157894736842,0.4041095890410959,-0.06953642384105962,-0.09633128873617007,0.0,0.8082191780821918,3.0,250,0.874074074074074,0.968671536246793,4.076957702636719e-05,0.5342465753424658,2.1016547679901123
19,0.4634703196347032,0.7236842105263158,0.5365296803652968,0.019656019656019597,0.03230642588238746,0.3333333333333333,0.7397260273972602,4.0,250,0.8372093023255813,0.9510331647513033,4.363059997558594e-05,0.2831050228310502,2.038543224334717
20,0.5821917808219178,0.8026315789473685,0.4178082191780822,-0.0674157303370786,-0.08778086039709793,0.0,0.8356164383561644,0.0,300,0.8905109489051095,0.9525743161531162,4.482269287109375e-05,0.3287671232876712,2.4944913387298584
21,0.4360730593607306,0.7763157894736842,0.5639269406392694,0.041543026706231445,0.061066124302191604,0.3333333333333333,0.7945205479452054,1.0,300,0.8721804511278196,0.9538885459130215,4.744529724121094e-05,0.34703196347031967,2.5025458335876465
22,0.3949771689497717,0.8552631578947368,0.6050228310502282,0.09913793103448265,0.12099399219132932,0.3333333333333333,0.8767123287671232,2.0,300,0.920863309352518,0.9342434181505006,4.458427429199219e-05,0.2009132420091324,2.493955135345459
