,data,BA,roc_auc,cv
81,ECGFiveDays,0.6363368089710801,0.7609679323234311,1.0
82,ECGFiveDays,0.5985146566987999,0.8665158371040724,2.0
83,ECGFiveDays,0.6546822742474916,0.7789691127287035,3.0
84,ECGFiveDays,0.6603383828447766,0.7936258115286249,4.0
85,ECGFiveDays,0.6202537871335825,0.8803855990556758,5.0
86,ECGFiveDays,0.7026854219948849,0.8230375762345071,6.0
87,ECGFiveDays,0.5962522132598859,0.8318906157780838,7.0
88,ECGFiveDays,0.6363368089710801,0.7946094825890222,8.0
89,ECGFiveDays,0.5355597088333661,0.811331890615778,9.0
100,GunPoint,0.575,0.918,0.0
101,GunPoint,0.87,0.96,1.0
102,GunPoint,0.675,0.8140000000000001,2.0
103,GunPoint,0.7749999999999999,0.94,3.0
104,GunPoint,0.77,0.91,4.0
105,GunPoint,0.66,0.87,5.0
106,GunPoint,0.56,0.838,6.0
107,GunPoint,0.57,0.7839999999999999,7.0
108,GunPoint,0.685,0.8140000000000001,8.0
109,GunPoint,0.665,0.932,9.0
110,Ham,0.5077669902912622,0.4388349514563107,0.0
111,Ham,0.4932038834951456,0.5300970873786408,1.0
112,Ham,0.4563106796116505,0.458252427184466,2.0
113,Ham,0.3980582524271844,0.5825242718446602,3.0
114,Ham,0.6223300970873786,0.5611650485436893,4.0
115,Ham,0.5077669902912622,0.4854368932038835,5.0
116,Ham,0.5786407766990291,0.7223300970873786,6.0
117,Ham,0.5980582524271845,0.5145631067961165,7.0
118,Ham,0.4126213592233009,0.2854368932038835,8.0
119,Ham,0.4223300970873786,0.2116504854368932,9.0
120,Herring,0.4155844155844156,0.2857142857142857,0.0
121,Herring,0.573051948051948,0.6331168831168831,1.0
122,Herring,0.5665584415584415,0.6915584415584416,2.0
123,Herring,0.448051948051948,0.3863636363636363,3.0
124,Herring,0.448051948051948,0.4318181818181818,4.0
125,Herring,0.4545454545454545,0.5454545454545454,5.0
126,Herring,0.5535714285714286,0.435064935064935,6.0
127,Herring,0.573051948051948,0.4642857142857143,7.0
128,Herring,0.586038961038961,0.6948051948051948,8.0
129,Herring,0.5340909090909092,0.4415584415584416,9.0
130,Lightning2,0.5844748858447488,0.730593607305936,0.0
131,Lightning2,0.6963470319634704,0.8447488584474885,1.0
132,Lightning2,0.4954337899543378,0.5799086757990868,2.0
133,Lightning2,0.7031963470319634,0.7214611872146119,3.0
134,Lightning2,0.730593607305936,0.7808219178082192,4.0
135,Lightning2,0.6894977168949772,0.8858447488584476,5.0
136,Lightning2,0.4178082191780822,0.7488584474885845,6.0
137,Lightning2,0.5776255707762556,0.8127853881278538,7.0
138,Lightning2,0.5639269406392694,0.8082191780821918,8.0
139,Lightning2,0.3972602739726027,0.5981735159817352,9.0
170,MoteStrain,0.5811638280616382,0.8117193836171939,0.0
171,MoteStrain,0.6199107866991078,0.8278588807785888,1.0
172,MoteStrain,0.6761962692619627,0.8643552311435523,2.0
173,MoteStrain,0.5723844282238443,0.852514193025142,3.0
174,MoteStrain,0.5694647201946472,0.8163422546634225,4.0
175,MoteStrain,0.6359894566098946,0.8084347120843474,5.0
176,MoteStrain,0.7112935928629359,0.9133414436334144,6.0
177,MoteStrain,0.6608475263584752,0.8122465531224655,7.0
178,MoteStrain,0.594322789943228,0.824168694241687,8.0
179,MoteStrain,0.7076236820762368,0.8685320356853204,9.0
190,Strawberry,0.5826210826210827,0.8531180753402975,0.0
191,Strawberry,0.7257834757834758,0.8736942070275403,1.0
192,Strawberry,0.7022792022792023,0.9051915163026272,2.0
193,Strawberry,0.7357549857549858,0.9547325102880658,3.0
194,Strawberry,0.6773504273504274,0.8852484963596075,4.0
195,Strawberry,0.6367521367521367,0.8841405508072175,5.0
196,Strawberry,0.6353276353276354,0.8239949351060462,6.0
197,Strawberry,0.690883190883191,0.9207027540360874,7.0
198,Strawberry,0.7272079772079771,0.9564735675846788,8.0
199,Strawberry,0.7051282051282051,0.9446027223805,9.0
210,ToeSegmentation1,0.6642857142857143,0.8948979591836734,0.0
211,ToeSegmentation1,0.525,0.7622448979591837,1.0
212,ToeSegmentation1,0.5785714285714285,0.8622448979591837,2.0
213,ToeSegmentation1,0.575,0.8469387755102041,3.0
214,ToeSegmentation1,0.6678571428571428,0.7816326530612245,4.0
215,ToeSegmentation1,0.7892857142857144,0.8387755102040816,5.0
216,ToeSegmentation1,0.5107142857142857,0.5806122448979592,6.0
217,ToeSegmentation1,0.6392857142857142,0.7479591836734694,7.0
218,ToeSegmentation1,0.525,0.7336734693877551,8.0
219,ToeSegmentation1,0.5142857142857142,0.7316326530612245,9.0
220,ToeSegmentation2,0.6102150537634409,0.6841397849462366,0.0
221,ToeSegmentation2,0.6935483870967742,0.7983870967741935,1.0
222,ToeSegmentation2,0.5618279569892473,0.646505376344086,2.0
