,AUC,Accuracy,BA,Kappa,MCC,Sensitivity,Specificity,cv,data,f1_score,pr_auc,prediction_time,roc_auc,train_time
53,0.5148846153846154,0.9049429657794676,0.4851153846153846,-0.0303220246023663,-0.0303284644040737,0.0192307692307692,0.951,3.0,ChlorineConcentration,0.95004995004995,0.9446882508068916,0.0014514923095703,0.4465384615384615,235.64490509033203
54,0.526,0.9011406844106464,0.474,-0.052,-0.052,0.0,0.948,4.0,ChlorineConcentration,0.948,0.9413889125315306,0.0014703273773193,0.4117115384615384,239.59747672080996
55,0.5265,0.9001901140684411,0.4735,-0.0525212486183632,-0.0525238875061505,0.0,0.947,5.0,ChlorineConcentration,0.9474737368684342,0.9407508012240282,0.001511812210083,0.3934615384615384,241.7494990825653
56,0.5133846153846153,0.9077946768060836,0.4866153846153846,-0.0280475518839411,-0.0280870161262464,0.0192307692307692,0.954,6.0,ChlorineConcentration,0.9516209476309226,0.945535813672412,0.0016136169433593,0.4460192307692307,242.30177283287048
57,0.5168846153846154,0.9011406844106464,0.4831153846153846,-0.0331646143385961,-0.0331711622971164,0.0192307692307692,0.947,7.0,ChlorineConcentration,0.9479479479479478,0.943186896544332,0.0014147758483886,0.4327884615384615,242.0007131099701
58,0.5057692307692307,0.9049429657794676,0.4942307692307692,-0.0115384615384614,-0.0115384615384615,0.0384615384615384,0.95,8.0,ChlorineConcentration,0.95,0.944999207102778,0.0017101764678955,0.4264230769230769,240.91331243515012
59,0.4875384615384616,0.9049429657794676,0.5124615384615384,0.0240463114145761,0.0240646553964232,0.0769230769230769,0.948,9.0,ChlorineConcentration,0.9498997995991983,0.9290360422551972,0.0011281967163085,0.3652499999999999,241.69912195205688
70,0.4849624060150376,0.85,0.5150375939849624,0.0186915887850466,0.0206021410857582,0.1428571428571428,0.8872180451127819,0.0,ECG200,0.9182879377431908,0.9856105473885136,6.4849853515625e-05,0.7669172932330828,3.5976052284240723
71,0.1842105263157895,0.9071428571428573,0.8157894736842105,0.3925233644859812,0.4326449628009228,0.7142857142857143,0.9172932330827068,1.0,ECG200,0.9494163424124512,0.9970830023048876,6.747245788574219e-05,0.9452201933404942,3.769131422042847
72,0.462406015037594,0.8928571428571429,0.537593984962406,0.0625,0.0636284762975777,0.1428571428571428,0.9323308270676692,2.0,ECG200,0.9429657794676808,0.9829471129819074,6.246566772460938e-05,0.80343716433942,3.634834289550781
73,0.3947368421052631,0.8928571428571429,0.6052631578947368,0.1573033707865169,0.1639025170267964,0.2857142857142857,0.924812030075188,3.0,ECG200,0.942528735632184,0.9911310188203356,6.222724914550781e-05,0.8442534908700323,3.6102452278137207
74,0.4774436090225564,0.8642857142857143,0.5225563909774436,0.0306122448979592,0.0327736762672231,0.1428571428571428,0.9022556390977444,4.0,ECG200,0.9266409266409266,0.9844355966376532,6.079673767089844e-05,0.7540279269602578,3.6971497535705566
75,0.3383458646616541,0.8714285714285714,0.6616541353383458,0.1928251121076232,0.2157320342562606,0.4285714285714285,0.8947368421052632,5.0,ECG200,0.9296875,0.9855805315352136,0.0001194477081298,0.7883995703544575,3.6447885036468506
76,0.2593984962406015,0.8928571428571429,0.7406015037593985,0.2990654205607476,0.3296342573721316,0.5714285714285714,0.9097744360902256,6.0,ECG200,0.9416342412451362,0.9922697598958984,6.580352783203125e-05,0.8678839957035446,3.617887735366821
77,0.3082706766917292,0.9285714285714286,0.6917293233082706,0.337748344370861,0.3407504774857841,0.4285714285714285,0.9548872180451128,7.0,ECG200,0.962121212121212,0.9823120654113956,6.222724914550781e-05,0.7669172932330827,3.7070252895355225
78,0.1842105263157895,0.9071428571428573,0.8157894736842105,0.3925233644859812,0.4326449628009228,0.7142857142857143,0.9172932330827068,8.0,ECG200,0.9494163424124512,0.9867151708880064,6.628036499023438e-05,0.8098818474758325,3.617085695266724
79,0.4022556390977444,0.8785714285714286,0.5977443609022557,0.1326530612244898,0.1420192638246334,0.2857142857142857,0.9097744360902256,9.0,ECG200,0.9343629343629344,0.9828464909929476,6.699562072753906e-05,0.7669172932330827,3.612293720245361
80,0.3464489474719653,0.9290322580645162,0.6535510525280346,0.2892213627310205,0.2898270470265095,0.3478260869565217,0.9592760180995475,0.0,ECGFiveDays,0.9625425652667424,0.986582314757934,0.0001718997955322,0.826086956521739,42.247575998306274
81,0.3213161518788117,0.9376344086021504,0.6786838481211883,0.3501517999132572,0.3502397462610069,0.391304347826087,0.9660633484162896,1.0,ECGFiveDays,0.9671574178935448,0.986050903405832,0.0003423690795898,0.8237261459767855,43.22322297096253
82,0.3625319693094629,0.9376344086021504,0.6374680306905371,0.2930537352555701,0.2938405689324966,0.3043478260869565,0.9705882352941176,2.0,ECGFiveDays,0.967305524239008,0.989301274352629,0.0001823902130126,0.8514656698799922,43.54624056816101
83,0.3475801691914224,0.9268817204301076,0.6524198308085776,0.2816248636859324,0.2826360703491959,0.3478260869565217,0.9570135746606336,3.0,ECGFiveDays,0.9613636363636364,0.9821646209106776,0.000342845916748,0.7887074562266377,44.56229043006897
84,0.3007082431634861,0.9376344086021504,0.6992917568365139,0.3753763490666543,0.376162458216341,0.4347826086956521,0.9638009049773756,4.0,ECGFiveDays,0.9670828603859252,0.98264343156571,0.0001771450042724,0.7982490655124925,45.04062962532044
85,0.3201849301593547,0.9397849462365592,0.6798150698406453,0.3596301396812906,0.3596301396812906,0.391304347826087,0.9683257918552036,5.0,ECGFiveDays,0.9683257918552036,0.9934429050905184,0.0001685619354248,0.9036986031870944,44.06032133102417
86,0.3235785953177257,0.9333333333333332,0.6764214046822743,0.3322988558988373,0.3329947526214252,0.391304347826087,0.9615384615384616,6.0,ECGFiveDays,0.964812712826334,0.9831623947382644,0.0001773834228515,0.811331890615778,44.40756821632385
87,0.3670568561872909,0.9290322580645162,0.6329431438127091,0.260517565418534,0.2605829986632264,0.3043478260869565,0.9615384615384616,7.0,ECGFiveDays,0.9626274065685164,0.98679885172428,0.0001752376556396,0.8291363368089713,43.74091815948486
88,0.3235785953177257,0.9333333333333332,0.6764214046822743,0.3322988558988373,0.3329947526214252,0.391304347826087,0.9615384615384616,8.0,ECGFiveDays,0.964812712826334,0.9823606876249986,0.0001623630523681,0.7995278378910093,42.970292806625366
