,AUC,Accuracy,BA,Kappa,MCC,Sensitivity,Specificity,cv,data,f1_score,pr_auc,prediction_time,roc_auc,train_time
0,0.5816326530612245,0.82,0.41836734693877553,-0.03686635944700467,-0.06234796863885496,0.0,0.8367346938775511,0.0,100,0.9010989010989012,0.9681854819769641,0.00011038780212402344,0.1989795918367347,12.262401342391968
1,0.2955326460481099,0.74,0.70446735395189,0.08386187455954908,0.15712929240270268,0.6666666666666666,0.7422680412371134,1.0,100,0.8470588235294118,0.9562575537125775,9.274482727050781e-05,0.32302405498281794,12.203988552093506
2,0.375,0.74,0.625,0.06876790830945567,0.11168711865749101,0.5,0.75,2.0,100,0.8470588235294119,0.9459222342838256,7.343292236328125e-05,0.2838541666666667,12.1178560256958
3,0.3520408163265306,0.79,0.6479591836734694,0.05234657039711177,0.1017130704861918,0.5,0.7959183673469388,3.0,100,0.8813559322033897,0.9691530100138198,6.890296936035156e-05,0.20918367346938777,12.428492069244385
4,0.6224489795918368,0.74,0.37755102040816324,-0.03833865814696491,-0.08027878384985948,0.0,0.7551020408163265,4.0,100,0.8505747126436782,0.9789955180153476,7.486343383789062e-05,0.3520408163265306,13.69047474861145
5,0.48837809917355374,0.932,0.5116219008264462,0.020737327188940058,0.020876333035083905,0.0625,0.9607438016528925,0.0,1000,0.9647302904564315,0.9637579450316833,0.001287698745727539,0.4683303202479339,1003.3215324878693
6,0.47575136612021857,0.944,0.5242486338797814,0.038989566172432766,0.03984355072423734,0.08333333333333333,0.9651639344262295,1.0,1000,0.9711340206185568,0.965705846431175,0.0011565685272216797,0.359801912568306,1009.4801199436188
7,0.48391508917824705,0.92,0.5160849108217529,0.028560326403730407,0.028773248369064475,0.07894736842105263,0.9532224532224532,2.0,1000,0.9582027168234065,0.9364596407982477,0.0018622875213623047,0.25845278476857425,996.3757774829865
8,0.4890625,0.912,0.5109375,0.01873327386262269,0.018965802588902025,0.075,0.946875,3.0,1000,0.9538300104931795,0.9416665391536552,0.00115966796875,0.31375,993.8916072845459
9,0.4827881323697223,0.906,0.5172118676302777,0.029887714663143994,0.0302046515055062,0.09090909090909091,0.9435146443514645,4.0,1000,0.9504741833508957,0.9281269914631568,0.0011403560638427734,0.26036515785469766,1007.7634904384613
10,0.46742292030250143,0.815,0.5325770796974985,0.029380902413431165,0.03684261555222574,0.2222222222222222,0.8429319371727748,0.0,200,0.8969359331476323,0.939642273203702,0.0001087188720703125,0.34322280395578825,47.31690835952759
